tractid,ntaname,totpop00,pop2400,NHW00,A2034y00,colleg00,mdfami00,mdrent00,J,totpop16,pop2416,NHW16,A2034y16,College16,mdfami16,mdrent16,R,NHW0016,A2034y0016,College0016,mdfami0016,mdrent0016,X,scoresraw,score0.025,score0.5,score0.975,Borough_Code,Borough,NHW00PCT,NHW16PCT,NHWPCTDIFF,POSNHWDIFF
36005038301,Fordham South,4019,2012,115,987,121,16574,585,NA,4604,2495,62,1051,257,24688,1162,NA,-0.529373324,-0.070459633,0.713,0.489561965,0.986324786,NA,-0.097168476,-1.03124674,-0.123724949,0.763354026,36005,Bronx,0.02861408310525006,0.013466550825369244,-0.015147532279880816,FALSE
36005038302,Fordham South,6133,3070,176,1515,185,16574,585,NA,5991,3267,20,1347,294,21791,1063,NA,-0.883670202,-0.089817234,0.493,0.314770122,0.817094017,NA,-1.304227959,-1.55644665,-0.626989401,0.337925612,36005,Bronx,0.028697211804989402,0.0033383408446002335,-0.02535887096038917,FALSE
36005038500,Claremont-Bathgate,4071,2008,106,974,110,15880,560,NA,4757,2741,37,1051,233,23494,1047,NA,-0.701280338,-0.076553563,0.552,0.479471033,0.869642857,NA,-0.581907861,-1.353267928,-0.402997875,0.548521331,36005,Bronx,0.02603782854335544,0.007778011351692243,-0.018259817191663197,FALSE
36005038600,Eastchester-Edenwald-Baychester,7123,4226,76,1579,656,39187,707,NA,8096,5024,124,2153,1045,59045,1310,NA,0.435491211,0.19964941,0.34,0.506749687,0.852899576,NA,0.309416611,-1.354517774,-0.517229601,0.361369879,36005,Bronx,0.010669661659413169,0.015316205533596838,0.004646543874183669,TRUE
36005038700,Belmont,3132,1733,753,980,307,18042,619,NA,3375,1768,668,1165,274,21302,1176,NA,-0.176754316,0.103183673,-0.125,0.180689502,0.899838449,NA,-0.917428806,-1.497549554,-0.506350654,0.527973898,36005,Bronx,0.24042145593869732,0.19792592592592592,-0.0424955300127714,FALSE
36005038800,Williamsbridge-Olinville,2634,1625,31,470,255,47381,692,NA,2552,1677,4,483,332,68958,1180,NA,-0.866821721,0.060679984,0.262,0.455393512,0.705202312,NA,-1.221629037,-1.938936909,-1.000481514,-0.044950568,36005,Bronx,0.011769172361427487,0.001567398119122257,-0.01020177424230523,FALSE
36005038900,Belmont,4558,2225,1480,1385,183,24688,632,NA,5492,2721,1511,1951,419,34653,1211,NA,-0.152681788,0.169098998,0.872,0.403637395,0.916139241,NA,0.422247505,-0.980004211,0.062730752,1.120845086,36005,Bronx,0.3247038174637999,0.2751274581209031,-0.04957635934289678,FALSE
36005039000,Williamsbridge-Olinville,2583,1574,78,510,267,47740,717,NA,2841,1735,61,678,288,35784,1388,NA,-0.288969215,0.208683769,-0.021,-0.250439883,0.935843794,NA,-1.396582491,-2.020318129,-1.106148404,-0.192629785,36005,Bronx,0.030197444831591175,0.021471312917986624,-0.008726131913604551,FALSE
36005039100,Belmont,6372,3182,1094,1645,249,20687,580,NA,7073,4249,838,1983,888,31726,1130,NA,-0.309921009,0.085997739,1.671,0.533620148,0.948275862,NA,0.848853656,-0.707721062,0.269694782,1.228324969,36005,Bronx,0.1716886377903327,0.1184787219001838,-0.053209915890148896,FALSE
36005039200,Williamsbridge-Olinville,1604,1038,9,364,156,38333,726,NA,1955,1169,30,354,208,40285,1286,NA,1.73486786,-0.202079762,0.184,0.050922182,0.771349862,NA,-0.856180156,-1.961245776,-0.898168472,0.143434416,36005,Bronx,0.005610972568578554,0.015345268542199489,0.009734295973620934,TRUE
36005039300,Belmont,7731,4012,876,1839,213,15370,535,NA,9438,5180,299,2437,461,24496,921,NA,-0.720409261,0.085499181,0.676,0.593754066,0.721495327,NA,-0.355655845,-1.113928801,-0.192503161,0.740291453,36005,Bronx,0.11331005044625533,0.03168044077134986,-0.08162960967490547,FALSE
36005039400,Williamsbridge-Olinville,4453,2716,280,976,199,33390,628,NA,4948,3100,161,1198,341,37132,1166,NA,-0.482523242,0.1046635,0.501,0.112069482,0.856687898,NA,-0.602340893,-1.78268954,-0.699165182,0.354643756,36005,Bronx,0.06287895800583876,0.03253839935327405,-0.030340558652564707,FALSE
36005039500,Claremont-Bathgate,3210,1747,40,728,145,16865,574,NA,4185,2327,54,933,384,32467,1030,NA,0.035483871,-0.016985702,0.988,0.925111177,0.794425087,NA,0.681395415,-0.708483123,0.131065495,0.971474127,36005,Bronx,0.012461059190031152,0.012903225806451613,4.421666164204606e-4,TRUE
36005039600,Williamsbridge-Olinville,3316,2032,93,646,220,31250,675,NA,4505,2642,40,1028,317,39009,1273,NA,-0.683410309,0.17133285,0.108,0.248288,0.885925926,NA,-0.876771938,-1.711072666,-0.79856029,0.122159524,36005,Bronx,0.02804583835946924,0.008879023307436182,-0.019166815052033055,FALSE
36005039700,Belmont,4012,1006,2377,1570,265,19170,538,NA,3994,827,2390,1391,110,31701,1035,NA,0.010000487,-0.110019807,-0.495,0.653677621,0.923791822,NA,-1.243028052,-1.510432844,-0.72755801,0.041220266,36005,Bronx,0.5924725822532403,0.5983975963945919,0.005925014141351603,TRUE
36005039800,Williamsbridge-Olinville,2758,1787,35,542,307,41474,749,NA,3004,1982,118,638,670,74261,1345,NA,2.095339547,0.080726313,0.968,0.790543473,0.795727637,NA,1.171148589,-1.024049106,-0.044547289,0.929216959,36005,Bronx,0.012690355329949238,0.039280958721704395,0.026590603391755157,TRUE
36005039901,Bedford Park-Fordham North,5550,2994,316,1370,250,17274,643,NA,5536,3336,101,1304,367,26264,1151,NA,-0.679571459,-0.045768111,0.318,0.520435336,0.790046656,NA,-0.767485525,-1.416981212,-0.56552438,0.279408117,36005,Bronx,0.05693693693693694,0.01824421965317919,-0.03869271728375775,FALSE
36005039902,Bedford Park-Fordham North,4960,2552,154,1241,202,16591,640,NA,5545,3389,550,1329,322,33007,1141,NA,2.194641247,-0.04207099,0.2,0.989452113,0.7828125,NA,0.548893879,-0.936857834,0.063854857,1.035238852,36005,Bronx,0.031048387096774193,0.09918845807033363,0.06814007097355944,TRUE
36005040100,Bedford Park-Fordham North,5302,3303,524,1218,340,26399,706,NA,4652,2880,145,1122,239,26250,1213,NA,-0.684618124,0.04989432,-0.194,-0.005644153,0.718130312,NA,-2.026754896,-1.750009613,-0.861591108,0.018522855,36005,Bronx,0.0988306299509619,0.03116938950988822,-0.06766124044107368,FALSE
36005040302,Bedford Park-Fordham North,4472,2282,149,1188,119,20776,663,NA,4265,2565,48,899,236,27976,1189,NA,-0.662217047,-0.206538223,0.764,0.346553716,0.793363499,NA,-0.847785354,-1.664751864,-0.739645015,0.151019398,36005,Bronx,0.03331842576028623,0.011254396248534583,-0.022064029511751647,FALSE
36005040303,Van Cortlandt Village,4820,2637,269,1063,284,25770,685,NA,4974,3064,178,1645,383,39730,1171,NA,-0.358777165,0.499594694,0.161,0.541715173,0.709489051,NA,-0.047077725,-1.42857955,-0.420868795,0.5819556,36005,Bronx,0.0558091286307054,0.03578608765581021,-0.020023040974895184,FALSE
36005040304,Van Cortlandt Village,3738,2045,210,830,221,25770,685,NA,3943,1955,147,792,344,25938,1244,NA,-0.336393609,-0.095393698,0.628,0.006519208,0.816058394,NA,-0.904225957,-1.689959143,-0.739604703,0.207279793,36005,Bronx,0.056179775280898875,0.03728125792543748,-0.018898517355461393,FALSE
36005040400,Williamsbridge-Olinville,2990,1891,85,588,273,44531,917,NA,3139,2215,59,904,578,63173,1184,NA,-0.338830276,0.464437957,0.808,0.418629719,0.291166848,NA,-0.336708182,-1.433975011,-0.513220758,0.411530782,36005,Bronx,0.028428093645484948,0.01879579483912074,-0.009632298806364209,FALSE
36005040501,Bedford Park-Fordham North,4079,2121,151,1000,218,25688,656,NA,4698,2620,156,1227,241,37300,1178,NA,-0.103008466,0.065332695,-0.105,0.452039863,0.795731707,NA,-0.70530419,-1.821372714,-0.760101028,0.272933315,36005,Bronx,0.03701887717577838,0.033205619412515965,-0.003813257763262412,FALSE
36005040502,Bedford Park-Fordham North,7099,3694,265,1751,380,25688,656,NA,6636,3914,81,1774,591,24472,1117,NA,-0.673013409,0.083822763,0.468,-0.047337278000000003,0.702743902,NA,-1.315839991,-2.068260433,-1.026985376,0.025774355,36005,Bronx,0.037329201295957175,0.012206148282097649,-0.025123053013859524,FALSE
36005040600,Williamsbridge-Olinville,3398,2028,44,718,378,32004,710,NA,3593,2351,4,703,355,55257,1212,NA,-0.914024745,-0.074029741,-0.19,0.726565429,0.707042254,NA,-1.864361632,-1.915564319,-1.025582693,-0.163340887,36005,Bronx,0.012948793407886992,0.001113275814082939,-0.011835517593804053,FALSE
36005040701,Van Cortlandt Village,3309,1960,408,875,220,22607,705,NA,3140,2094,145,804,358,45769,1206,NA,-0.625480049,-0.031688444,0.523,1.024549918,0.710638298,NA,-0.144996296,-1.481002986,-0.523474309,0.395893559,36005,Bronx,0.12330009066183137,0.04617834394904458,-0.07712174671278679,FALSE
36005040702,Bedford Park-Fordham North,6718,3795,1006,1807,577,31235,681,NA,6823,4406,702,2070,683,35272,1090,NA,-0.312925612,0.127916166,0.02,0.129246038,0.600587372,NA,-1.262792317,-1.729183195,-0.928589321,-0.117820873,36005,Bronx,0.14974694849657635,0.10288729297962773,-0.04685965551694862,FALSE
36005040800,Williamsbridge-Olinville,4014,2264,127,1075,290,29850,707,NA,4780,2751,337,1214,487,44196,1219,NA,1.228310216,-0.051669553,0.382,0.480603015,0.724186704,NA,-0.010399732,-1.513531056,-0.46831985,0.614953905,36005,Bronx,0.031639262580966616,0.0705020920502092,0.038862829469242584,TRUE
36005040900,Van Cortlandt Village,3626,2479,926,585,479,48571,587,NA,3138,2379,427,601,671,57712,1043,NA,-0.467166221,0.187116842,0.46,0.188198719,0.776831346,NA,-0.51771692,-1.476449173,-0.706972844,0.055254166,36005,Bronx,0.25537782680639826,0.13607393244104526,-0.11930389436535299,FALSE
36005041100,Bedford Park-Fordham North,2481,1610,484,707,202,37303,730,NA,3158,1870,305,762,490,42639,1334,NA,-0.504927143,-0.153259766,1.088,0.143044795,0.82739726,NA,-0.598838059,-1.73382148,-0.781024691,0.16651596,36005,Bronx,0.1950826279725917,0.09658011399620013,-0.09850251397639158,FALSE
36005041300,Bedford Park-Fordham North,7515,4651,1756,2016,960,32302,705,NA,7429,4869,693,1688,891,53785,1208,NA,-0.600784542,-0.153005596,-0.113,0.665067179,0.713475177,NA,-1.296796768,-2.044447658,-1.051959051,-0.035736898,36005,Bronx,0.233666001330672,0.09328307982231794,-0.14038292150835407,FALSE
36005041400,Woodlawn-Wakefield,5011,3138,581,1047,324,35688,718,NA,4776,3385,433,930,924,67750,1292,NA,-0.218062847,-0.068041977,1.644,0.89839722,0.799442897,NA,0.818158673,-1.014315355,0.047025726,1.140514408,36005,Bronx,0.11594492117341848,0.09066164154103852,-0.02528327963237996,FALSE
36005041500,Bedford Park-Fordham North,5635,3606,1134,1535,743,36417,705,NA,6031,3874,435,1739,767,46799,1290,NA,-0.641589442,0.05851202,-0.039,0.285086635,0.829787234,NA,-1.17572071,-2.036781304,-1.029335304,-0.0211283,36005,Bronx,0.20124223602484473,0.07212734206599238,-0.12911489395885234,FALSE
36005041800,Woodlawn-Wakefield,3564,2121,365,813,303,46279,707,NA,4302,2843,164,1095,560,39944,1351,NA,-0.627764086,0.115811577,0.379,-0.136887141,0.910891089,NA,-1.174214888,-1.743571722,-0.712948612,0.273987104,36005,Bronx,0.10241301907968575,0.03812180381218038,-0.06429121526750536,FALSE
36005041900,Norwood,6837,4034,1471,1741,1049,24563,685,NA,7168,4739,1003,1714,1161,34677,1191,NA,-0.349636973,-0.060969649,-0.058,0.411757521,0.738686131,NA,-1.091771708,-1.997370527,-1.048123142,-0.092386789,36005,Bronx,0.21515284481497732,0.13992745535714285,-0.07522538945783447,FALSE
