block,lot,neighborhood,price_diff,date_diff
41,1115,DOWNTOWN-FULTON FERRY,12.237399559218787,45705600
44,1007,DOWNTOWN-FULTON FERRY,14.379084967320255,113702400
45,1002,DOWNTOWN-FULTON FERRY,6.557377049180335,191548800
45,1006,DOWNTOWN-FULTON FERRY,17.647058823529417,78105600
45,1022,DOWNTOWN-FULTON FERRY,0.6802721088435382,171936000
45,1044,DOWNTOWN-FULTON FERRY,29.851799576570226,116380800
45,1047,DOWNTOWN-FULTON FERRY,29.901058693628357,284774400
45,1057,DOWNTOWN-FULTON FERRY,7.692307692307687,238896000
45,1071,DOWNTOWN-FULTON FERRY,20.879120879120872,90892800
45,1076,DOWNTOWN-FULTON FERRY,18.41469308844852,267321600
45,1077,DOWNTOWN-FULTON FERRY,47.177419354838705,104112000
45,1089,DOWNTOWN-FULTON FERRY,2.857142857142847,166665600
45,1091,DOWNTOWN-FULTON FERRY,27.244340359094465,127958400
45,1091,DOWNTOWN-FULTON FERRY,1.8404907975460016,132364800
45,1093,DOWNTOWN-FULTON FERRY,6.785317018909898,167270400
45,1101,DOWNTOWN-FULTON FERRY,29.245136186770427,99792000
45,1106,DOWNTOWN-FULTON FERRY,32.94797687861271,266630400
45,1114,DOWNTOWN-FULTON FERRY,7.317073170731714,37843200
45,1116,DOWNTOWN-FULTON FERRY,40.71428571428572,297388800
45,1122,DOWNTOWN-FULTON FERRY,19.999999999999996,284774400
45,1132,DOWNTOWN-FULTON FERRY,172.28070175438597,257040000
45,1135,DOWNTOWN-FULTON FERRY,39.240506329113934,165715200
45,1139,DOWNTOWN-FULTON FERRY,15.763546798029559,216086400
45,1141,DOWNTOWN-FULTON FERRY,8.90909090909091,189388800
45,1164,DOWNTOWN-FULTON FERRY,7.26072607260726,58579200
45,1190,DOWNTOWN-FULTON FERRY,20.370370370370374,64800000
45,1197,DOWNTOWN-FULTON FERRY,40.8450704225352,188006400
45,1200,DOWNTOWN-FULTON FERRY,38.497652582159624,134870400
45,1213,DOWNTOWN-FULTON FERRY,4.950495049504955,131068800
45,1214,DOWNTOWN-FULTON FERRY,11.864406779661007,186969600
45,1220,DOWNTOWN-FULTON FERRY,20.353982300884965,271209600
45,1222,DOWNTOWN-FULTON FERRY,8.60377358490565,41644800
45,1236,DOWNTOWN-FULTON FERRY,14.528101802757165,84758400
45,1241,DOWNTOWN-FULTON FERRY,42.51547115066625,170035200
45,1246,DOWNTOWN-FULTON FERRY,29.230769230769237,104803200
45,1251,DOWNTOWN-FULTON FERRY,0.278551532033422,166752000
51,1001,DOWNTOWN-FULTON FERRY,11.046511627906973,200707200
51,1041,DOWNTOWN-FULTON FERRY,6.1224489795918435,121046400
51,1048,DOWNTOWN-FULTON FERRY,3.703703703703698,110332800
51,1130,DOWNTOWN-FULTON FERRY,5.084745762711873,91411200
51,1139,DOWNTOWN-FULTON FERRY,2.6252983293556076,41126400
51,1193,DOWNTOWN-FULTON FERRY,3.570762759382262,79833600
52,1007,DOWNTOWN-FULTON FERRY,43.84615384615385,163728000
52,1008,DOWNTOWN-FULTON FERRY,5.35714285714286,140918400
52,1013,DOWNTOWN-FULTON FERRY,23.684210526315795,41904000
52,1015,DOWNTOWN-FULTON FERRY,21.26865671641791,285465600
52,1043,DOWNTOWN-FULTON FERRY,14.117647058823524,177465600
52,1067,DOWNTOWN-FULTON FERRY,21.153846153846146,250905600
52,1068,DOWNTOWN-FULTON FERRY,7.777777777777772,193104000
52,1071,DOWNTOWN-FULTON FERRY,26.80851063829788,134697600
52,1079,DOWNTOWN-FULTON FERRY,8.333333333333325,52272000
53,1008,DOWNTOWN-FULTON FERRY,0.5050505050504972,200361600
53,1009,DOWNTOWN-FULTON FERRY,28.842504743833008,103075200
53,1021,DOWNTOWN-FULTON FERRY,9.740259740259738,209779200
53,1027,DOWNTOWN-FULTON FERRY,44.50867052023122,286502400
53,1064,DOWNTOWN-FULTON FERRY,37.226277372262786,297907200
53,1070,DOWNTOWN-FULTON FERRY,3.672985781990512,91411200
53,1080,DOWNTOWN-FULTON FERRY,56.79871520342612,175564800
53,1090,DOWNTOWN-FULTON FERRY,5.718370264474615,49852800
53,1098,DOWNTOWN-FULTON FERRY,1.5873015873015817,124675200
53,1108,DOWNTOWN-FULTON FERRY,13.214285714285712,82080000
53,1118,DOWNTOWN-FULTON FERRY,15.15151515151516,124934400
53,1118,DOWNTOWN-FULTON FERRY,1.5789473684210575,146102400
53,1139,DOWNTOWN-FULTON FERRY,11.859140341791807,172713600
53,1152,DOWNTOWN-FULTON FERRY,0.8264462809917328,148867200
53,1165,DOWNTOWN-FULTON FERRY,15.384615384615374,217814400
53,1174,DOWNTOWN-FULTON FERRY,16.013071895424847,65232000
53,1174,DOWNTOWN-FULTON FERRY,10.563380281690149,176515200
53,1181,DOWNTOWN-FULTON FERRY,6.796116504854366,109555200
53,1196,DOWNTOWN-FULTON FERRY,7.109448082319925,156556800
53,1200,DOWNTOWN-FULTON FERRY,15.15151515151516,129513600
53,1222,DOWNTOWN-FULTON FERRY,7.733743747595234,11404800
53,1224,DOWNTOWN-FULTON FERRY,28.90173410404624,242784000
53,1234,DOWNTOWN-FULTON FERRY,17.22488038277512,213235200
53,1249,DOWNTOWN-FULTON FERRY,18.93687707641196,92880000
53,1256,DOWNTOWN-FULTON FERRY,8.703703703703702,120355200
53,1256,DOWNTOWN-FULTON FERRY,14.991482112436106,161136000
53,1259,DOWNTOWN-FULTON FERRY,27.118644067796605,291600000
55,1022,DOWNTOWN-FULTON FERRY,10.000000000000009,266630400
55,1026,DOWNTOWN-FULTON FERRY,24.32432432432432,150076800
55,1027,DOWNTOWN-FULTON FERRY,45.38461538461538,184636800
55,1030,DOWNTOWN-FULTON FERRY,41.176470588235304,132019200
55,1033,DOWNTOWN-FULTON FERRY,15.452930728241565,210988800
55,1129,DOWNTOWN-FULTON FERRY,4.0000000000000036,174009600
55,1131,DOWNTOWN-FULTON FERRY,94.61077844311376,291600000
55,1141,DOWNTOWN-FULTON FERRY,27.114124638122817,126403200
55,1143,DOWNTOWN-FULTON FERRY,12.073863636363647,180835200
55,1145,DOWNTOWN-FULTON FERRY,37.15207745058491,170121600
55,1145,DOWNTOWN-FULTON FERRY,29.41176470588236,119059200
55,1302,DOWNTOWN-FULTON FERRY,74.88494411571334,9417600
55,1303,DOWNTOWN-FULTON FERRY,70.90691094961139,17971200
55,1309,DOWNTOWN-FULTON FERRY,68.52670211969141,34992000
55,1314,DOWNTOWN-FULTON FERRY,65.89861751152073,132451200
55,1401,DOWNTOWN-FULTON FERRY,35.118033841465014,67219200
55,1403,DOWNTOWN-FULTON FERRY,48.12048792631316,10972800
55,1404,DOWNTOWN-FULTON FERRY,51.946854464170265,255312000
55,1407,DOWNTOWN-FULTON FERRY,38.33030677762799,253324800
55,1409,DOWNTOWN-FULTON FERRY,241.80965703986166,288403200
55,1410,DOWNTOWN-FULTON FERRY,241.80965703986166,288403200
63,1,DOWNTOWN-METROTECH,115.7912,110246400
64,25,DOWNTOWN-METROTECH,119.93458695652173,110246400
68,107,DOWNTOWN-METROTECH,87.5,11664000
68,107,DOWNTOWN-METROTECH,16.666666666666675,22464000
68,107,DOWNTOWN-METROTECH,2.0000000000000018,1123200
68,107,DOWNTOWN-METROTECH,11.111111111111116,9849600
68,107,DOWNTOWN-METROTECH,17.647058823529417,25920000
68,107,DOWNTOWN-METROTECH,66.66666666666667,432000
68,107,DOWNTOWN-METROTECH,40.54054054054055,4665600
68,107,DOWNTOWN-METROTECH,1.9230769230769162,1641600
68,107,DOWNTOWN-METROTECH,6.1224489795918435,24624000
68,107,DOWNTOWN-METROTECH,18.181818181818187,7603200
68,107,DOWNTOWN-METROTECH,7.692307692307687,20390400
76,1,DOWNTOWN-METROTECH,114.05209130434781,110246400
77,1,DOWNTOWN-METROTECH,124.65411666666668,110246400
86,11,DOWNTOWN-METROTECH,156.63716814159292,3283200
86,11,DOWNTOWN-METROTECH,69.4915254237288,604800
86,11,DOWNTOWN-METROTECH,32.38095238095238,864000
86,11,DOWNTOWN-METROTECH,102.15827338129495,604800
86,11,DOWNTOWN-METROTECH,21.55555555555555,2592000
86,11,DOWNTOWN-METROTECH,22.66910420475321,518400
86,11,DOWNTOWN-METROTECH,150,172800
86,11,DOWNTOWN-METROTECH,0.45662100456620447,1555200
86,11,DOWNTOWN-METROTECH,60.00000000000001,86400
86,11,DOWNTOWN-METROTECH,147.72727272727272,0
86,11,DOWNTOWN-METROTECH,78.57142857142858,1123200
86,11,DOWNTOWN-METROTECH,15.999999999999993,432000
86,11,DOWNTOWN-METROTECH,58.928571428571416,172800
86,11,DOWNTOWN-METROTECH,74.63556851311954,518400
86,11,DOWNTOWN-METROTECH,30.434782608695656,86400
86,11,DOWNTOWN-METROTECH,70,0
86,11,DOWNTOWN-METROTECH,16.470588235294127,86400
86,11,DOWNTOWN-METROTECH,46.21409921671018,0
86,11,DOWNTOWN-METROTECH,102.49999999999999,86400
86,11,DOWNTOWN-METROTECH,35.30864197530865,518400
86,11,DOWNTOWN-METROTECH,3.2786885245901676,86400
86,11,DOWNTOWN-METROTECH,180.48780487804876,604800
86,11,DOWNTOWN-METROTECH,47.50000000000001,950400
86,11,DOWNTOWN-METROTECH,13.970588235294112,604800
86,11,DOWNTOWN-METROTECH,16.129032258064523,432000
86,11,DOWNTOWN-METROTECH,149.7872340425532,1209600
86,11,DOWNTOWN-METROTECH,63.59999999999999,172800
86,11,DOWNTOWN-METROTECH,13.235294117647056,259200
86,11,DOWNTOWN-METROTECH,55.55555555555556,259200
86,11,DOWNTOWN-METROTECH,4.910714285714279,432000
86,11,DOWNTOWN-METROTECH,11.111111111111116,172800
86,11,DOWNTOWN-METROTECH,81.78181818181818,1209600
86,11,DOWNTOWN-METROTECH,10.863509749303613,432000
86,11,DOWNTOWN-METROTECH,8.333333333333325,259200
86,11,DOWNTOWN-METROTECH,8.307692307692305,1036800
86,11,DOWNTOWN-METROTECH,22.413793103448263,518400
86,11,DOWNTOWN-METROTECH,128.0701754385965,1814400
86,11,DOWNTOWN-METROTECH,18.181818181818187,86400
86,11,DOWNTOWN-METROTECH,41.37931034482758,86400
86,11,DOWNTOWN-METROTECH,28.04878048780488,172800
86,11,DOWNTOWN-METROTECH,15.187376725838275,864000
86,11,DOWNTOWN-METROTECH,19.863013698630127,259200
86,11,DOWNTOWN-METROTECH,85.71428571428572,432000
86,11,DOWNTOWN-METROTECH,44.44444444444444,604800
86,11,DOWNTOWN-METROTECH,42.85714285714286,345600
86,11,DOWNTOWN-METROTECH,8.045977011494255,86400
86,11,DOWNTOWN-METROTECH,107.14285714285717,432000
