Name,2018Ridership,Rank2018,Position
Eastern Pkwy-Brooklyn Museum ,"4,637",303,POINT (-73.96422203748425 40.67203223545925)
Euclid Av ,"10,191",158,POINT (-73.87210600099675 40.675376998239365)
Flatbush Av-Brooklyn College  ,"19,763",68,POINT (-73.94754120734406 40.63284240700742)
Flushing Av ,"2,949",370,POINT (-73.9502340010257 40.70037666622154)
Flushing Av ,"8,336",183,POINT (-73.94137734838365 40.70040440298112)
Fort Hamilton Pkwy ,"3,936",326,POINT (-73.9942022375285 40.640912711444656)
Fort Hamilton Pkwy ,"5,807",260,POINT (-73.97577599917474 40.65078166803418)
Fort Hamilton Pkwy ,"3,232",353,POINT (-74.00535100046275 40.63138566722445)
Franklin Av /Botanic Garden ,"14,581",102,POINT (-73.9580997367769 40.67076515344894)
Franklin Av ,"6,358",240,POINT (-73.95684800014614 40.68137966658742)
Fulton St ,"5,462",271,POINT (-73.97537499833149 40.68711899950771)
Gates Av ,"7,255",207,POINT (-73.92215600150752 40.689583999013905)
Graham Av ,"9,959",160,POINT (-73.94394399869037 40.714575998363635)
Grand Army Plaza ,"7,188",211,POINT (-73.9709563319228 40.6752946951032)
Grand St ,"6,964",220,POINT (-73.94049699874644 40.71157600064823)
Grant Av ,"5,896",257,POINT (-73.86504999877702 40.67704400054478)
Greenpoint Av ,"9,509",164,POINT (-73.95442500146235 40.73126699971465)
Halsey St ,"6,579",233,POINT (-73.9166388842194 40.686415270704344)
Halsey St ,"8,386",182,POINT (-73.90393400118631 40.69551800114878)
Hewes St ,"2,782",374,POINT (-73.95348800038457 40.706889998054)
High St ,"10,281",155,POINT (-73.99053100065458 40.69933699977884)
Hoyt St ,"6,938",221,POINT (-73.98506379575646 40.69054418535472)
Hoyt-Schermerhorn Sts ,"10,540",148,POINT (-73.98503624034139 40.68840847580642)
Jay St-MetroTech ,"42,274",21,POINT (-73.98721815267317 40.692470636847084)
Jefferson St ,"7,674",196,POINT (-73.9229130000312 40.706606665988716)
Junius St ,"2,080",393,POINT (-73.90244864183562 40.66358900181724)
Kings Hwy ,"19,569",72,POINT (-73.95760873538083 40.608638645396006)
Kings Hwy ,"4,567",307,POINT (-73.9723553085244 40.603258405128265)
Kings Hwy  ,"3,328",351,POINT (-73.98037300229343 40.60405899980493)
Kingston Av ,"4,623",304,POINT (-73.94215978392963 40.66948144864978)
Kingston-Throop Avs ,"6,585",232,POINT (-73.94085899871263 40.67991899941601)
Knickerbocker Av ,"2,446",384,POINT (-73.91972000188625 40.69866000123805)
Kosciuszko St ,"6,144",246,POINT (-73.92850899927413 40.69317200129202)
Lafayette Av  ,"4,889",289,POINT (-73.97394599849406 40.68611300020567)
Liberty Av ,"2,754",375,POINT (-73.89654800103929 40.67454199987086)
Livonia Av ,"3,209",357,POINT (-73.90056237226057 40.66405727094644)
Lorimer St ,"4,837",293,POINT (-73.94735499884204 40.703844000042096)
Lorimer St /Metropolitan Av ,"14,299",108,POINT (-73.95024799996972 40.71407200064717)
Marcy Av ,"13,315",113,POINT (-73.95783200075729 40.708383000017925)
Montrose Av ,"6,884",225,POINT (-73.93979284713505 40.70739106438455)
Morgan Av ,"7,510",202,POINT (-73.93314700024209 40.70615166680729)
Myrtle Av ,"12,122",127,POINT (-73.9356230012996 40.6971950005145)
Myrtle-Willoughby Avs ,"5,736",263,POINT (-73.94906699890156 40.69461899903765)
Myrtle-Wyckoff Avs ,"21,241",63,POINT (-73.9109757182647 40.699471062427136)
Nassau Av ,"9,312",168,POINT (-73.95118300016523 40.724479997808274)
