geoid,borough_tract_id,state_fips,county_fips,tract_id,county_name,borough_name,borough_id,nta_id,nta_name,puma_id,puma_name,Type_1.19,geometry,wkt_multipolygon
36047023200,3023200,36,047,023200,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Displacement of Low-Income Households,"list(list(c(989241.490378, 989079.6829791, 988756.409124, 986921.4355149, 987245.3819777, 987731.0994623, 988342.8143795, 988180.4719464, 988791.8686873, 988630.0314422, 989241.490378, 170407.2009878, 170203.5071561, 169795.6206526, 171248.3215075, 171656.0701937, 172268.2996989, 171784.1898193, 171580.191178, 171095.4447015, 170891.924454, 170407.2009878)))","MULTIPOLYGON (((989241.5 170407.2, 989079.7 170203.5, 988756.4 169795.6, 986921.4 171248.3, 987245.4 171656.1, 987731.1 172268.3, 988342.8 171784.2, 988180.5 171580.2, 988791.9 171095.4, 988630 170891.9, 989241.5 170407.2)))"
36047023300,3023300,36,047,023300,Kings,Brooklyn,3,BK75,Bedford,4003,Brooklyn Community District 3--Bedford-Stuyvesant,LI - At Risk of Gentrification,"list(list(c(996695.4326551, 996817.2107179, 995462.9416592, 995341.2423928, 995261.2359526, 995501.0746217, 996615.0784365, 996695.4326551, 190465.5699711, 189664.5214159, 189458.9967381, 190259.9108938, 190793.6957868, 190830.6119999, 190999.1156672, 190465.5699711)))","MULTIPOLYGON (((996695.4 190465.6, 996817.2 189664.5, 995462.9 189459, 995341.2 190259.9, 995261.2 190793.7, 995501.1 190830.6, 996615.1 190999.1, 996695.4 190465.6)))"
36047023400,3023400,36,047,023400,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Displacement of Low-Income Households,"list(list(c(988756.409124, 988433.076675, 988271.6366469, 986436.7842537, 986597.8862691, 986921.4355149, 988756.409124, 169795.6206526, 169387.6033506, 169183.7583349, 170636.3769756, 170839.2868104, 171248.3215075, 169795.6206526)))","MULTIPOLYGON (((988756.4 169795.6, 988433.1 169387.6, 988271.6 169183.8, 986436.8 170636.4, 986597.9 170839.3, 986921.4 171248.3, 988756.4 169795.6)))"
36047023500,3023500,36,047,023500,Kings,Brooklyn,3,BK69,Clinton Hill,4004,Brooklyn Community District 2--Brooklyn Heights & Fort Greene,LI - Not Losing Low-Income Households,"list(list(c(996615.0784365, 995501.0746217, 995297.846942, 996411.4633667, 996615.0784365, 190999.1156672, 190830.6119999, 192167.6204972, 192336.3669624, 190999.1156672)))","MULTIPOLYGON (((996615.1 190999.1, 995501.1 190830.6, 995297.8 192167.6, 996411.5 192336.4, 996615.1 190999.1)))"
36047023600,3023600,36,047,023600,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Displacement of Low-Income Households,"list(list(c(988271.6366469, 987948.2709948, 987786.2043796, 985952.1787688, 986436.7842537, 988271.6366469, 169183.7583349, 168774.9696705, 168570.7213955, 170025.0592137, 170636.3769756, 169183.7583349)))","MULTIPOLYGON (((988271.6 169183.8, 987948.3 168775, 987786.2 168570.7, 985952.2 170025.1, 986436.8 170636.4, 988271.6 169183.8)))"
36047023800,3023800,36,047,023800,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Not Losing Low-Income Households,"list(list(c(987786.2043796, 987461.6807073, 987300.663897, 985465.9625048, 985952.1787688, 987786.2043796, 168570.7213955, 168161.0466835, 167958.8852619, 169412.7374843, 170025.0592137, 168570.7213955)))","MULTIPOLYGON (((987786.2 168570.7, 987461.7 168161, 987300.7 167958.9, 985466 169412.7, 985952.2 170025.1, 987786.2 168570.7)))"
36047024000,3024000,36,047,024000,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Not Losing Low-Income Households,"list(list(c(987300.663897, 986815.6351942, 985328.0264687, 984982.7776135, 985465.9625048, 987300.663897, 167958.8852619, 167347.3181104, 168525.7379156, 168800.3961628, 169412.7374843, 167958.8852619)))","MULTIPOLYGON (((987300.7 167958.9, 986815.6 167347.3, 985328 168525.7, 984982.8 168800.4, 985466 169412.7, 987300.7 167958.9)))"
36047024100,3024100,36,047,024100,Kings,Brooklyn,3,BK75,Bedford,4003,Brooklyn Community District 3--Bedford-Stuyvesant,MHI - Stable Exclusion,"list(list(c(997709.5680426, 996695.4326551, 996615.0784365, 996411.4633667, 997424.5029287, 997709.5680426, 190618.9914181, 190465.5699711, 190999.1156672, 192336.3669624, 192491.6455875, 190618.9914181)))","MULTIPOLYGON (((997709.6 190619, 996695.4 190465.6, 996615.1 190999.1, 996411.5 192336.4, 997424.5 192491.6, 997709.6 190619)))"
36047024200,3024200,36,047,024200,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Displacement of Low-Income Households,"list(list(c(986815.6351942, 987496.8479905, 986999.6474719, 986317.7621291, 985141.0715018, 985328.0264687, 986815.6351942, 167347.3181104, 166806.7776185, 166178.3468769, 166719.418985, 167649.0299125, 168525.7379156, 167347.3181104)))","MULTIPOLYGON (((986815.6 167347.3, 987496.8 166806.8, 986999.6 166178.3, 986317.8 166719.4, 985141.1 167649, 985328 168525.7, 986815.6 167347.3)))"
36047024300,3024300,36,047,024300,Kings,Brooklyn,3,BK75,Bedford,4003,Brooklyn Community District 3--Bedford-Stuyvesant,LI - Ongoing Gentrification,"list(list(c(997952.9599836, 996939.0215566, 996817.2107179, 996695.4326551, 997709.5680426, 997952.9599836, 189017.2755334, 188863.5682587, 189664.5214159, 190465.5699711, 190618.9914181, 189017.2755334)))","MULTIPOLYGON (((997953 189017.3, 996939 188863.6, 996817.2 189664.5, 996695.4 190465.6, 997709.6 190619, 997953 189017.3)))"
36047024400,3024400,36,047,024400,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Displacement of Low-Income Households,"list(list(c(988108.0212817, 988718.8700488, 988557.6798376, 989168.3771155, 988833.4366935, 988221.2495471, 986999.6474719, 987496.8479905, 988108.0212817, 166322.1001728, 165837.9376807, 165633.2880385, 165148.9757661, 164725.3510389, 165210.3405574, 166178.3468769, 166806.7776185, 166322.1001728)))","MULTIPOLYGON (((988108 166322.1, 988718.9 165837.9, 988557.7 165633.3, 989168.4 165149, 988833.4 164725.4, 988221.2 165210.3, 986999.6 166178.3, 987496.8 166806.8, 988108 166322.1)))"
36047024500,3024500,36,047,024500,Kings,Brooklyn,3,BK75,Bedford,4003,Brooklyn Community District 3--Bedford-Stuyvesant,MHI - Ongoing Exclusion,"list(list(c(998240.6234861, 997182.9122771, 997020.2714053, 996939.0215566, 997952.9599836, 998240.6234861, 187168.0233462, 187258.5579396, 188329.6977945, 188863.5682587, 189017.2755334, 187168.0233462)))","MULTIPOLYGON (((998240.6 187168, 997182.9 187258.6, 997020.3 188329.7, 996939 188863.6, 997953 189017.3, 998240.6 187168)))"
36047024600,3024600,36,047,024600,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Not Losing Low-Income Households,"list(list(c(990489.7330516, 990398.9653988, 989902.6835205, 988059.8029273, 988221.2495471, 988833.4366935, 989168.3771155, 989330.9521536, 990392.1840157, 990489.7330516, 164316.4050231, 164174.6830076, 163546.8066484, 165004.5075042, 165210.3405574, 164725.3510389, 165148.9757661, 165353.5718196, 164503.5602696, 164316.4050231)))","MULTIPOLYGON (((990489.7 164316.4, 990399 164174.7, 989902.7 163546.8, 988059.8 165004.5, 988221.2 165210.3, 988833.4 164725.4, 989168.4 165149, 989331 165353.6, 990392.2 164503.6, 990489.7 164316.4)))"
36047024700,3024700,36,047,024700,Kings,Brooklyn,3,BK61,Crown Heights North,4006,Brooklyn Community District 8--Crown Heights North & Prospect Heights,LI - Ongoing Displacement of Low-Income Households,"list(list(c(998240.6234861, 999151.0156345, 999789.3216084, 999740.4764049, 998972.7548167, 997289.6410785, 996649.6913627, 996609.8325821, 997207.4890689, 997182.9122771, 998240.6234861, 187168.0233462, 187104.0505823, 187058.8373965, 186355.0064457, 186414.3600723, 186559.6452073, 186734.609029, 187009.5492676, 187098.0925157, 187258.5579396, 187168.0233462)))","MULTIPOLYGON (((998240.6 187168, 999151 187104.1, 999789.3 187058.8, 999740.5 186355, 998972.8 186414.4, 997289.6 186559.6, 996649.7 186734.6, 996609.8 187009.5, 997207.5 187098.1, 997182.9 187258.6, 998240.6 187168)))"
36047024800,3024800,36,047,024800,Kings,Brooklyn,3,BK28,Bensonhurst West,4017,Brooklyn Community District 11--Bensonhurst & Bath Beach,LI - Ongoing Displacement of Low-Income Households,"list(list(c(986999.6474719, 988221.2495471, 988059.8029273, 987737.7826733, 985833.7374548, 986317.7621291, 986999.6474719, 166178.3468769, 165210.3405574, 165004.5075042, 164599.2062062, 166108.4422266, 166719.418985, 166178.3468769)))","MULTIPOLYGON (((986999.6 166178.3, 988221.2 165210.3, 988059.8 165004.5, 987737.8 164599.2, 985833.7 166108.4, 986317.8 166719.4, 986999.6 166178.3)))"
36047024900,3024900,36,047,024900,Kings,Brooklyn,3,BK75,Bedford,4003,Brooklyn Community District 3--Bedford-Stuyvesant,MHI - Advanced Gentrification,"list(list(c(998903.1419367, 999065.7402059, 999151.0156345, 998240.6234861, 997952.9599836, 998862.4727314, 998903.1419367, 188888.7715079, 187820.7553109, 187104.0505823, 187168.0233462, 189017.2755334, 189155.8349749, 188888.7715079)))","MULTIPOLYGON (((998903.1 188888.8, 999065.7 187820.8, 999151 187104.1, 998240.6 187168, 997953 189017.3, 998862.5 189155.8, 998903.1 188888.8)))"
